Experiment,Weeks,Elicitor,Block,Foldchange,ddCT,minusddCT
A,0 (pre-spray),ASM,a,-0.55473,0.636666667,-0.636666667
A,0 (pre-spray),ASM,b,-1.23974,1.163333333,-1.163333333
A,0 (pre-spray),ASM,c,0.63203,-0.706666667,0.706666667
A,0 (pre-spray),ASM,d,0.63203,-0.706666667,0.706666667
A,1,ASM,a,0.68958,-0.756666667,0.756666667
A,1,ASM,b,0.96337,-0.973333333,0.973333333
A,1,ASM,c,0.04247,-0.06,0.06
A,1,ASM,d,0.00000,0,0
A,3,ASM,a,-0.00928,0.013333333,-0.013333333
A,3,ASM,b,0.13550,-0.183333333,0.183333333
A,3,ASM,c,-1.49090,1.316666667,-1.316666667
A,3,ASM,d,-0.95432,0.966666667,-0.966666667
A,7,ASM,a,0.19472,-0.256666667,0.256666667
A,7,ASM,b,1.21914,-1.15,1.15
A,7,ASM,c,-1.48515,1.313333333,-1.313333333
A,7,ASM,d,2.22657,-1.69,1.69
B,0 (pre-spray),ASM,a,-50.62507,5.69,-5.69
B,0 (pre-spray),ASM,b,1.83497,-1.503333333,1.503333333
B,0 (pre-spray),ASM,c,1.07053,-1.05,1.05
B,0 (pre-spray),ASM,d,-1.48515,1.313333333,-1.313333333
B,3,ASM,a,1.32409,-1.216666667,1.216666667
B,3,ASM,b,1.46229,-1.3,1.3
B,3,ASM,c,1.32409,-1.216666667,1.216666667
B,3,ASM,d,3.25748,-2.09,2.09
B,7,ASM,a,0.44727,-0.533333333,0.533333333
B,7,ASM,b,0.35660,-0.44,0.44
B,7,ASM,c,-0.49140,0.576666667,-0.576666667
B,7,ASM,d,1.68204,-1.423333333,1.423333333
A,0 (pre-spray),Harpin,a,0.06437,-0.09,0.09
A,0 (pre-spray),Harpin,b,0.05214,-0.073333333,0.073333333
A,0 (pre-spray),Harpin,c,-0.55114,0.633333333,-0.633333333
A,0 (pre-spray),Harpin,d,2.25653,-1.703333333,1.703333333
A,1,Harpin,a,0.50177,-0.586666667,0.586666667
A,1,Harpin,b,-0.25992,0.333333333,-0.333333333
A,1,Harpin,c,0.80667,-0.853333333,0.853333333
A,1,Harpin,d,-0.86607,0.9,-0.9
A,3,Harpin,a,-0.69349,0.76,-0.76
A,3,Harpin,b,,,0
A,3,Harpin,c,-0.08423,0.116666667,-0.116666667
A,3,Harpin,d,-1.79594,1.483333333,-1.483333333
A,7,Harpin,a,1.45661,-1.296666667,1.296666667
A,7,Harpin,b,0.21139,-0.276666667,0.276666667
A,7,Harpin,c,-5.63456,2.73,-2.73
A,7,Harpin,d,-0.48452,0.57,-0.57
B,0 (pre-spray),Harpin,a,-5.83686,2.773333333,-2.773333333
B,0 (pre-spray),Harpin,b,-0.16743,0.223333333,-0.223333333
B,0 (pre-spray),Harpin,c,7.55440,-3.096666667,3.096666667
B,0 (pre-spray),Harpin,d,-6.55099,2.916666667,-2.916666667
B,3,Harpin,a,0.01630,-0.023333333,0.023333333
B,3,Harpin,b,-0.29534,0.373333333,-0.373333333
B,3,Harpin,c,-1.09943,1.07,-1.07
B,3,Harpin,d,3.18918,-2.066666667,2.066666667
B,7,Harpin,a,-1.25532,1.173333333,-1.173333333
B,7,Harpin,b,1.71948,-1.443333333,1.443333333
B,7,Harpin,c,-0.46409,0.55,-0.55
B,7,Harpin,d,0.23685,-0.306666667,0.306666667
C,0 (pre-spray),ASM,a,-60.96292454,5.953333333,-5.953333333
C,0 (pre-spray),ASM,b,6.550994501,-2.916666667,2.916666667
C,0 (pre-spray),ASM,c,0.049716684,-0.07,0.07
C,0 (pre-spray),ASM,d,-9.629486513,3.41,-3.41
C,0 (pre-spray),ASM,e,-4.476800516,2.453333333,-2.453333333
C,1,ASM,a,-0.725084064,0.786666667,-0.786666667
C,1,ASM,b,1384.956889,-10.43666667,10.43666667
C,1,ASM,c,15.60255455,-4.053333333,4.053333333
C,1,ASM,d,111.9859835,-6.82,6.82
C,1,ASM,e,73.54294953,-6.22,6.22
C,3,ASM,a,-0.67791155,0.746666667,-0.746666667
C,3,ASM,b,136.1870032,-7.1,7.1
C,3,ASM,c,-4.086476666,2.346666667,-2.346666667
C,3,ASM,d,14.81622433,-3.983333333,3.983333333
C,3,ASM,e,-4.376497598,2.426666667,-2.426666667
